,county,state_x,lat_avg,lng_avg,install_prop,state_y,d_prop,r_prop,d_votes,r_votes
0,Alameda,California,37.70448805291392,-122.08647213089148,0.0004571910797544547,California,0.8055203879944622,0.1944796120055378,462558.0,111677.0
1,Angelina,Texas,31.321144202560006,-94.716887302706,9.473805874138594e-06,Texas,0.24537480369249626,0.7546251963075037,6406.0,19701.0
2,Aransas,Texas,28.03527541495852,-97.0678631888875,1.850590280468523e-05,Texas,0.20254733994589721,0.7974526600541028,1797.0,7075.0
3,Archer,Texas,33.706751298587086,-98.62516087361746,1.8538773845497858e-05,Texas,0.09017308766052484,0.9098269123394751,323.0,3259.0
4,Atascosa,Texas,29.046633919122467,-98.57723741344999,6.183374143602681e-06,Texas,0.3041777629826897,0.6958222370173103,3655.0,8361.0
5,Bastrop,Texas,30.13327491113647,-97.34952814914274,0.0,Texas,0.3889304133343299,0.6110695866656701,10407.0,16351.0
6,Bell,Texas,31.076334209823425,-97.5667991210033,2.325533608451752e-05,Texas,0.3978695856873823,0.6021304143126177,33803.0,51157.0
7,Bexar,Texas,29.480249472272263,-98.52312479392752,4.000882605900165e-05,Texas,0.53207762024324,0.46792237975676004,285026.0,250659.0
8,Bowie,Texas,33.43659693555093,-94.15364801405072,1.3319010274591888e-05,Texas,0.26236543757376346,0.7376345624262366,7336.0,20625.0
9,Brazoria,Texas,29.32516486834785,-95.38544770870762,1.4393312709897025e-05,Texas,0.35971576486002055,0.6402842351399795,39536.0,70373.0
10,Brazos,Texas,30.632984717071032,-96.32617957055916,2.498849289439806e-05,Texas,0.3720793183085132,0.6279206816914868,23361.0,39424.0
11,Burleson,Texas,30.475864698313032,-96.64049750023149,,Texas,0.19552901546470677,0.8044709845352932,1277.0,5254.0
12,Butte,California,39.6565604744744,-121.68741164798661,0.0009740180824708165,California,0.4677321191082659,0.5322678808917342,41500.0,47226.0
13,Caldwell,Texas,29.851524533405488,-97.6657566679904,0.0,Texas,0.4014423076923077,0.5985576923076923,4509.0,6723.0
14,Callahan,Texas,32.35274114106007,-99.43919173906723,1.4613260072189504e-05,Texas,0.09796412013706914,0.9020358798629309,486.0,4475.0
15,Cameron,Texas,26.06115045347628,-97.56564565729231,0.0,Texas,0.5496348071939056,0.4503651928060944,41991.0,34407.0
16,Chambers,Texas,29.79796000834045,-94.7361171550767,0.0,Texas,0.1643835616438356,0.8356164383561644,2460.0,12505.0
17,Clay,Texas,33.868144579577475,-98.23812366017923,0.0,Texas,0.10549812030075188,0.8945018796992481,449.0,3807.0
18,Collin,Texas,33.117684068005765,-96.6765447035782,5.755397076706129e-05,Texas,0.4007919366450684,0.5992080633549316,139175.0,208075.0
19,Comal,Texas,29.77786340796851,-98.23747759288382,3.3597646484863734e-05,Texas,0.23272458045409675,0.7672754195459033,14145.0,46635.0
20,Contra Costa,California,37.933952130663215,-122.0159712311473,0.0007984241286067949,California,0.6819776522888381,0.31802234771116183,283805.0,132345.0
21,Cooke,Texas,33.608499269373304,-97.11344064433008,0.0,Texas,0.14295681294913834,0.8570431870508617,2049.0,12284.0
