,county,state,tile_count,solar_system_count,total_panel_area,land_area,total_area,population,population_density,average_household_income,race_asian_rate,race_black_africa_rate,race_indian_alaska_rate,race_islander_rate,race_white_rate,race_other_rate,race_two_more_rate,diversity,voting_2016_dem_percentage,voting_2016_gop_percentage,avg_electricity_retail_rate,gini_index,ratio_panels_to_housing_units,education_highschool_percentage,education_bachelor_percentage,employed_percentage
236,Bosque County,tx,8.0,6.0,423.49154197359996,982.9785489999999,1002.5429939999998,17971,314.31811999999996,60202.18691242857,0.0038611272956442858,0.016154723263514286,0.0038718316518257146,0.0,0.9438458253909999,0.014424432210115714,0.01784206018780714,0.10591333613754286,0.163780941388,0.8112094395279998,8.659999999999998,0.4473571428571429,0.0008297894409293641,0.24572923042679873,0.08163151744477214,0.39869790217572754
244,Bowie County,tx,122.0,81.0,10033.314873596,885.0055389999999,922.96709,93155,887.9058249999998,55999.711107105555,0.007824685075258887,0.28023661119113885,0.007657804874043667,0.0006601848517611112,0.6595041124276667,0.019373917470628887,0.024742684109640548,0.3740145633029612,0.256193791703,0.7227444154340001,8.659999999999998,0.45556111111111114,0.003127563576702215,0.24185497289463798,0.08026407600236166,0.38601255971230747
259,Brazoria County,tx,185.0,152.0,9791.1669365342,1357.7012527000002,1608.5875637,331741,1309.3331684000002,78637.05764124001,0.030462623818396057,0.0976221358559444,0.0035070523827335394,5.598371059246e-05,0.8101056758007199,0.039428522295217996,0.018818006136403005,0.309920116478322,0.358075081466,0.6039519186009993,8.660000000000009,0.4067119999999999,0.001485383028093812,0.1654664331511631,0.11952095158572501,0.46509174325754127
260,Brazos County,tx,143.0,109.0,7603.13826789062,585.4452633999999,591.2379093999999,205271,3151.563337142857,62049.322658400015,0.06271535427383756,0.10416904037630616,0.004838156809597633,0.000413028772768,0.7406297904677073,0.062399721295011486,0.024834908004891222,0.3917564270299,0.34891574292799993,0.5854685323159999,8.660000000000005,0.46475750000000016,0.0017456907075540798,0.10288350521992878,0.10498804020051541,0.4788499106059794
265,Brewster County,tx,18.0,13.0,564.3598564499,6183.732825000003,6192.252728,9235,633.9608319,55189.9774998,0.0,0.00974895994344,0.01618135204969,0.0,0.9332775460286666,0.02284726939804667,0.01794487257994,0.126934949982,0.442262186465,0.49053478466600003,8.66,0.47013333333333335,0.0033216460601587007,0.15138061721710883,0.16123443421765024,0.4748240389821332
266,Briscoe County,tx,0.0,0.0,0.0,900.0007,901.5717,1670,1.8555540000000001,54933.481481500006,0.0,0.0431137724551,0.00059880239521,0.00299401197605,0.898203592814,0.014371257485,0.04071856287430002,0.189497651404,0.123978201635,0.851498637602,8.66,0.4446,0.0,0.1718562874251497,0.10778443113772455,0.4532934131736527
275,Brooks County,tx,10.0,4.0,1816.41076075,943.364164,943.650564,7221,536.103383,41549.45335070001,0.012612107623299998,0.0005605381165900001,0.0,0.0,0.8490727877790001,0.12693459129,0.010819975191175,0.26228529828799996,0.746147919877,0.236132511556,8.66,0.5151,0.0032722513089005235,0.23417809167705303,0.04763883118681623,0.33457969810275584
286,Brown County,tx,40.0,25.0,5078.3407150168005,944.4333410000002,956.954084,37833,722.7255986666665,55391.03400775833,0.005355745618693918,0.047051829534131666,0.0037418708928800004,0.0002308402585408333,0.9065002257543333,0.0175765095166975,0.019542978424619998,0.16813168504744166,0.11620904724400004,0.8609936196139999,8.659999999999998,0.45236666666666675,0.0021716705575764157,0.2557291253667433,0.08830914809822113,0.39663785584013955
312,Burleson County,tx,6.0,5.0,299.82660504349997,659.02637,676.8120899999999,17293,101.160734,65880.87065746001,0.011129032258060001,0.11822955131326,0.0015453906693904,0.0,0.7909622935926001,0.056063462466260004,0.02207026970046,0.3503115602948,0.214686825054,0.7654427645790001,8.66,0.42396,0.000676056338028169,0.25235644480425606,0.06945006650089632,0.4251431214942462
314,Burnet County,tx,29.0,25.0,1094.4625147934,994.2580350000001,1021.2623900000001,44144,176.42736875000003,67585.24684447501,0.0029383927977312497,0.023139969567354125,0.007163097628864625,0.0,0.9357205902231249,0.0217066822924425,0.00933126749043875,0.12189763001161251,0.198729391998,0.766302635724,8.659999999999998,0.4260375,0.0013590777017527416,0.22227256252265312,0.1089162740123233,0.42300199347589706
339,Caldwell County,tx,25.0,19.0,1377.8942348427,545.2565979999999,547.161556,39347,326.36545375,62070.982399725006,0.0030271383684237502,0.065256277415375,0.006219174317837,0.00073872157606625,0.7576054315387499,0.1405966721884625,0.0265565845949,0.384983523535125,0.39824066956999987,0.556495003843,8.659999999999998,0.40926250000000003,0.0018032313906520484,0.2287340839199939,0.07027219355986479,0.424250895875162
351,Calhoun County,tx,12.0,10.0,761.954109055,506.840474,1032.675964,21666,1055.626318,65349.05516486,0.028333332921499997,0.030625354893974006,0.0005590504335270001,0.0008833100883319999,0.8833857255277999,0.008192510043802,0.048020716091159994,0.21173622695400002,0.30444156964200003,0.666666666667,8.659999999999998,0.4159,0.001033947957952783,0.21166805132465613,0.0711714206590972,0.43459798763038865
353,Callahan County,tx,5.0,4.0,385.45280207959996,899.372258,901.2636580000001,13532,224.09596233333332,53882.79270463333,0.00698032343652,0.017118274117906333,0.0005256439137933333,0.0007509198768500001,0.9427409784453333,0.01173783334812,0.020146026861666666,0.10986318828979998,0.102231821454,0.874370050396,8.66,0.4814333333333333,0.0007605719501064801,0.27098728938811706,0.07537688442211055,0.3762932308601833
365,Cameron County,tx,307.0,181.0,24124.404325216045,890.9223182000001,1276.4575329000004,417947,3202.595483023256,45661.92175596309,0.0058205343057303556,0.005562177391370132,0.0022789893965353687,7.057401630928573e-05,0.9249898277234406,0.051510237016278465,0.009767660150313311,0.138834393769725,0.6461483159780012,0.32059605246000067,8.659999999999998,0.46981071428571425,0.0021144124412854526,0.13811320574139782,0.06782438921681458,0.35413820412636055
367,Camp County,tx,2.0,2.0,35.5746999813,195.82646,203.23324100000002,12516,250.05247,54640.77035206667,0.0028828104049333334,0.169242410972,0.0009945269684366667,0.0,0.7273143826233334,0.07522979619480001,0.0243360728364,0.42667313096100007,0.277410832232,0.704755614267,8.66,0.44543333333333335,0.0003524229074889868,0.23705656759348034,0.06415787791626718,0.4026046660274848
