,county,state,d_prop,r_prop,d_votes,r_votes
131,Eastland,Texas,0.11527189840442853,0.8847281015955715,708.0,5434.0
133,Edwards,Texas,0.1360544217687075,0.8639455782312925,100.0,635.0
135,Ellis,Texas,0.2667573833282935,0.7332426166717064,15879.0,43647.0
137,Falls,Texas,0.2777537796976242,0.7222462203023758,1286.0,3344.0
138,Fannin,Texas,0.1663371928833663,0.8336628071166338,1767.0,8856.0
139,Fayette,Texas,0.17165765069551778,0.8283423493044823,1777.0,8575.0
140,Fisher,Texas,0.2107409925220938,0.7892590074779062,310.0,1161.0
141,Floyd,Texas,0.221505376344086,0.7784946236559139,412.0,1448.0
142,Foard,Texas,0.2337962962962963,0.7662037037037037,101.0,331.0
144,Franklin,Texas,0.13783367556468173,0.8621663244353183,537.0,3359.0
145,Freestone,Texas,0.17641611359777742,0.8235838864022226,1143.0,5336.0
146,Frio,Texas,0.485347474183645,0.514652525816355,1739.0,1844.0
147,Gaines,Texas,0.12566137566137567,0.8743386243386243,475.0,3305.0
149,Garza,Texas,0.14715189873417722,0.8528481012658228,186.0,1078.0
150,Gillespie,Texas,0.16396090784266215,0.8360390921573378,2030.0,10351.0
151,Glasscock,Texas,0.06533575317604355,0.9346642468239564,36.0,515.0
10,Glenn,California,0.29092654824771963,0.7090734517522803,2424.0,5908.0
152,Goliad,Texas,0.20471134704711347,0.7952886529528865,617.0,2397.0
153,Gonzales,Texas,0.2102803738317757,0.7897196261682243,1170.0,4394.0
154,Gray,Texas,0.09369154905628295,0.906308450943717,551.0,5330.0
157,Grimes,Texas,0.21749325829522806,0.782506741704772,1855.0,6674.0
159,Hale,Texas,0.2379115580658493,0.7620884419341507,1727.0,5532.0
160,Hall,Texas,0.148380355276907,0.851619644723093,142.0,815.0
161,Hamilton,Texas,0.12243047158403869,0.8775695284159613,405.0,2903.0
162,Hansford,Texas,0.07082833133253301,0.929171668667467,118.0,1548.0
163,Hardeman,Texas,0.13379669852302345,0.8662033014769766,154.0,997.0
167,Hartley,Texas,0.07759699624530664,0.9224030037546934,124.0,1474.0
168,Haskell,Texas,0.16162227602905568,0.8383777239709443,267.0,1385.0
170,Hemphill,Texas,0.11250925240562547,0.8874907475943745,152.0,1199.0
173,Hill,Texas,0.18136821636910022,0.8186317836308997,2052.0,9262.0
174,Hockley,Texas,0.17199263844738163,0.8280073615526183,1028.0,4949.0
175,Hood,Texas,0.15286236297198538,0.8471376370280146,3765.0,20865.0
176,Hopkins,Texas,0.1887498936260744,0.8112501063739256,2218.0,9533.0
177,Houston,Texas,0.22479452054794521,0.7752054794520548,1641.0,5659.0
178,Howard,Texas,0.2118422860283006,0.7881577139716994,1542.0,5737.0
179,Hudspeth,Texas,0.3829296424452134,0.6170703575547867,332.0,535.0
180,Hunt,Texas,0.21217527833285754,0.7878247216671425,5946.0,22078.0
181,Hutchinson,Texas,0.10470964791952446,0.8952903520804756,687.0,5874.0
13,Inyo,California,0.44670889562104105,0.553291104378959,3244.0,4018.0
182,Irion,Texas,0.11950549450549451,0.8804945054945055,87.0,641.0
183,Jack,Texas,0.08833034111310592,0.9116696588868941,246.0,2539.0
184,Jackson,Texas,0.1511308391460579,0.848869160853942,715.0,4016.0
185,Jasper,Texas,0.1697662514929193,0.8302337485070806,1990.0,9732.0
186,Jeff Davis,Texas,0.3614564831261101,0.6385435168738899,407.0,719.0
188,Jim Hogg,Texas,0.648686030428769,0.35131396957123096,938.0,508.0
189,Jim Wells,Texas,0.4756801319043693,0.5243198680956307,4616.0,5088.0
190,Johnson,Texas,0.19587129288621827,0.8041287071137817,10105.0,41485.0
192,Karnes,Texas,0.258523424086338,0.741476575913662,1054.0,3023.0
193,Kaufman,Texas,0.27243615191213444,0.7275638480878656,10294.0,27491.0
194,Kendall,Texas,0.1738102579915716,0.8261897420084284,3382.0,16076.0
195,Kenedy,Texas,0.3392857142857143,0.6607142857142857,57.0,111.0
196,Kent,Texas,0.1021021021021021,0.8978978978978979,34.0,299.0
197,Kerr,Texas,0.19547494732985252,0.8045250526701475,4268.0,17566.0
198,Kimble,Texas,0.09526627218934912,0.9047337278106509,161.0,1529.0
199,King,Texas,0.047619047619047616,0.9523809523809523,6.0,120.0
200,Kinney,Texas,0.2457627118644068,0.7542372881355932,290.0,890.0
201,Kleberg,Texas,0.4289598108747045,0.5710401891252955,3629.0,4831.0
202,Knox,Texas,0.20036934441366575,0.7996306555863343,217.0,866.0
203,La Salle,Texas,0.4989676531314522,0.5010323468685478,725.0,728.0
16,Lake,California,0.513925008274623,0.4860749917253771,10869.0,10280.0
204,Lamar,Texas,0.19736115372813748,0.8026388462718625,3216.0,13079.0
205,Lamb,Texas,0.18424135910954892,0.8157586408904511,629.0,2785.0
17,Lassen,California,0.2265971606033718,0.7734028393966282,2043.0,6973.0
207,Lavaca,Texas,0.10798855061150144,0.8920114493884985,830.0,6856.0
208,Lee,Texas,0.1953625194670358,0.8046374805329641,1129.0,4650.0
209,Leon,Texas,0.1149724433557869,0.8850275566442131,751.0,5781.0
211,Limestone,Texas,0.22359796067006554,0.7764020393299345,1535.0,5330.0
212,Lipscomb,Texas,0.10321969696969698,0.896780303030303,109.0,947.0
213,Live Oak,Texas,0.1394257316399779,0.860574268360022,505.0,3117.0
214,Llano,Texas,0.17443713887228532,0.8255628611277147,1751.0,8287.0
215,Loving,Texas,0.16363636363636364,0.8363636363636363,9.0,46.0
217,Lynn,Texas,0.17954815695600476,0.8204518430439952,302.0,1380.0
218,Madison,Texas,0.18985011832763607,0.8101498816723639,722.0,3081.0
219,Marion,Texas,0.26890034364261167,0.7310996563573883,939.0,2553.0
220,Martin,Texas,0.14947780678851175,0.8505221932114883,229.0,1303.0
221,Mason,Texas,0.17182662538699692,0.8281733746130031,333.0,1605.0
222,Matagorda,Texas,0.2573082489146165,0.7426917510853835,2667.0,7698.0
223,Maverick,Texas,0.6650694777192142,0.3349305222807858,6940.0,3495.0
224,McCulloch,Texas,0.1392884178652536,0.8607115821347464,368.0,2274.0
226,McMullen,Texas,0.07710280373831775,0.9228971962616822,33.0,395.0
227,Medina,Texas,0.24742525435366083,0.7525747456463392,3964.0,12057.0
228,Menard,Texas,0.16752577319587628,0.8324742268041238,130.0,646.0
230,Milam,Texas,0.22793650793650794,0.7720634920634921,1795.0,6080.0
231,Mills,Texas,0.10320641282565131,0.8967935871743486,206.0,1790.0
232,Mitchell,Texas,0.15742208135235078,0.8425779186476492,298.0,1595.0
24,Modoc,California,0.23781902552204176,0.7621809744779582,820.0,2628.0
25,Mono,California,0.557593241294045,0.4424067587059551,2706.0,2147.0
233,Montague,Texas,0.10439410480349345,0.8956058951965066,765.0,6563.0
235,Moore,Texas,0.1866600298656048,0.8133399701343952,750.0,3268.0
236,Morris,Texas,0.2772585669781931,0.7227414330218068,1157.0,3016.0
237,Motley,Texas,0.06679389312977099,0.933206106870229,35.0,489.0
239,Navarro,Texas,0.23972169512966476,0.7602783048703352,3411.0,10818.0
241,Nolan,Texas,0.2013993003498251,0.7986006996501749,806.0,3196.0
243,Ochiltree,Texas,0.0891130727196301,0.9108869272803699,212.0,2167.0
244,Oldham,Texas,0.07711442786069651,0.9228855721393034,62.0,742.0
245,Palo Pinto,Texas,0.16370449678800855,0.8362955032119914,1529.0,7811.0
246,Panola,Texas,0.17219917012448133,0.8278008298755186,1494.0,7182.0
247,Parker,Texas,0.14975961538461538,0.8502403846153846,8099.0,45981.0
248,Parmer,Texas,0.1732283464566929,0.8267716535433071,352.0,1680.0
249,Pecos,Texas,0.3366993652625505,0.6633006347374495,1167.0,2299.0
34,Plumas,California,0.37153679653679655,0.6284632034632035,3433.0,5807.0
250,Polk,Texas,0.20462805912284954,0.7953719408771505,3378.0,13130.0
252,Presidio,Texas,0.7118959107806692,0.28810408921933084,1149.0,465.0
253,Rains,Texas,0.1293418647166362,0.8706581352833638,566.0,3810.0
255,Reagan,Texas,0.154126213592233,0.845873786407767,127.0,697.0
256,Real,Texas,0.13706563706563707,0.862934362934363,213.0,1341.0
257,Red River,Texas,0.20639269406392693,0.7936073059360731,904.0,3476.0
258,Reeves,Texas,0.48259561667382894,0.517404383326171,1123.0,1204.0
259,Refugio,Texas,0.3031893419459023,0.6968106580540977,751.0,1726.0
260,Roberts,Texas,0.034482758620689655,0.9655172413793104,16.0,448.0
263,Runnels,Texas,0.10681114551083591,0.8931888544891641,345.0,2885.0
265,Sabine,Texas,0.11639135959339263,0.8836086404066074,458.0,3477.0
266,San Augustine,Texas,0.2295302013422819,0.7704697986577181,684.0,2296.0
269,San Saba,Texas,0.10312805474095797,0.896871945259042,211.0,1835.0
270,Schleicher,Texas,0.19788359788359788,0.8021164021164021,187.0,758.0
271,Scurry,Texas,0.13334874046683615,0.8666512595331639,577.0,3750.0
272,Shackelford,Texas,0.06812842599843383,0.9318715740015662,87.0,1190.0
273,Shelby,Texas,0.18218191517738064,0.8178180848226194,1366.0,6132.0
274,Sherman,Texas,0.09548387096774194,0.9045161290322581,74.0,701.0
